,kanda_name,sarga,verse_ref,shloka,translation
0,Bala,1,१-१-१,"तपःस्वाध्यायनिरतं तपस्वी वाग्विदां वरम् |
नारदं परिपप्रच्छ वाल्मीकिर्मुनिपुङ्गवम्","The ascetic Valmiki inquired Naarada - 'who engaged deeply in austerity and study of Vedas, best among the eloquent and eminent among sages' (as follows:)."
1,Bala,1,१-१-२,"को न्वस्मिन् साम्प्रतं लोके गुणवान् कश्च वीर्यवान् |
धर्मज्ञश्च कृतज्ञश्च सत्यवाक्यो दृढव्रतः","""Who really is that person in this present world, who is virtuous and vigorous, a conscientious 
	one, one who is mindful of good deeds done to him, and also a speaker of truth and who is determined in his deed..."
2,Bala,1,१-१-३,"चारित्रेण च को युक्तः सर्वभूतेषु को हितः |
विद्वान् कः कः समर्थश्च कश्चैकप्रियदर्शनः","""Who is appropriate in disposition... who is interested in welfare of all beings... who is 
	adept and also an able one... also uniquely pleasant to look at..."
3,Bala,1,१-१-४,"आत्मवान् को जितक्रोधो  द्युतिमान् कोऽनसूयकः |
कस्य बिभ्यति देवाश्च जातरोषस्य संयुगे","""Who is that self-composed one, who controlled his ire, who is brilliant, non-jealous and whom do even
	the gods fear, when provoked to war..."
4,Bala,1,१-१-५,"एतदिच्छाम्यहं श्रोतुं परं कौतूहलं हि मे |
महर्षे त्वं समर्थोऽसि ज्ञातुमेवंविधं नरम्","""All this I wish to listen from you, oh! Great Sage, you are competent to know this kind of man, 
and indeed my inquisitiveness is immense..."" Thus Valmiki enquired with Narada."
5,Bala,1,१-१-६,"श्रुत्वा चैतत्त्रिलोकज्ञो वाल्मीकेर्नारदो वचः |
श्रूयतामिति चामन्त्र्य प्रहृष्टो वाक्यमब्रवीत्","On listening all those words of Valmiki, Narada, the knower of all the three worlds, said ""let 
it be heard..."" and beckoning at Sage Valmiki to listen attentively, he spoke these words very gladly."
6,Bala,1,१-१-७,"बहवो दुर्लभाश्चैव ये त्वया कीर्तिता गुणाः |
मुने वक्ष्याम्यहं बुद्ध्वा तैर्युक्तः श्रूयतां नरः","""Oh! Sage Valmiki, the merits which you have extolled are many, and unattainable. I, after having known from Brahma of such a man with all these merits, will speak on...Let it be heard."" Thus Narada started to say."
7,Bala,1,१-१-८,"इक्ष्वाकुवंशप्रभवो रामो नाम जनैः श्रुतः |
नियतात्मा महावीर्यो द्युतिमान् धृतिमान् वशी","""One emerged from Ikshvaku dynasty, known to people as Rama by name. He is with a controlled self, 
highly valorous, resplendent, steadfast and a controller of (vice and vile... or) his own senses."
8,Bala,1,१-१-९,"बुद्धिमान्नीतिमान्वाग्ग्मी श्रीमान् शत्रुनिबर्हणः |
विपुलांसो महाबाहुः कम्बुग्रीवो महाहनुः","""He is a wise one, moralist, eloquent, glorious, and a destroyer of enemies. His arms are lengthy, 
with three lines in the neck [indicative of good fortune], and cheekbones high..."
9,Bala,1,१-१-१०,"महोरस्को महेष्वासो गूढजत्रुररिन्दमः |
आजानुबाहुः सुशिराः सुललाटः सुविक्रमः","""He is lion-chested, with concealed collarbones, knee-length are his arms, and his is a long bow, an enemy-subjugator, 
and his emperor's countenance is with a crowning-head and an ample forehead, and his gait is majestic like that of a lion..."
10,Bala,1,१-१-११,"समः समविभक्ताङ्गः स्निग्धवर्णः प्रतापवान् |
पीनवक्षा विशालाक्षो लक्ष्मीवान् शुभलक्षणः","""He is built proportionately physically, with limbs poised symmetrically, sinew-chested, wide-eyed, complexioned 
charmingly... he is a prosperous one with all the auspicious features ..."
11,Bala,1,१-१-१२,"धर्मज्ञः सत्यसन्धश्च प्रजानां च हिते रतः |
यशस्वी ज्ञानसंपन्नः शुचिर्वश्यः समाधिमान्","""He is the knower of rectitude, bidden by the truth, also his concern is in the welfare of subjects, 
proficient in prudence, clean in his conduct, self-controlled and an attentive one..."
12,Bala,1,१-१-१३,"प्रजापतिसमः श्रीमान् धाता रिपुनिषूदनः |
रक्षिता जीवलोकस्य धर्मस्य परिरक्षिता","""He equals Lord Vishnu, the Lord of all creatures, Sustainer of the Universe, together with Sri Lakshmi (shriimaan = lakShmiivaan), Eliminator of enemies,
 Protector of the world of living creatures and complete Guardian of probity..."
13,Bala,1,१-१-१४,"रक्षिता स्वस्य धर्मस्य स्वजनस्य च रक्षिता |
वेदवेदाङ्गतत्त्वज्ञो धनुर्वेदे च निष्ठितः","""He is the preserver of his own righteousness and also a champion for adherent's welfare in the same 
righteousness, and he is a scholar in the essence of Veda-s and their ancillaries, too. He is an expert 
indhanurVeda, the Art of Archery..."
14,Bala,1,१-१-१५,"सर्वशास्त्रार्थतत्त्वज्ञः स्मृतिमान् प्रतिभानवान् |
सर्वलोकप्रियः साधुरदीनात्मा विचक्षणः","""He is the knower of the meaning and essence of all the scriptures, excellent at memory, a brilliant one, 
and dear to all the worlds, gentle, level-headed and clear-headed in discriminating and distinguishing..."
15,Bala,1,१-१-१६,"सर्वदाभिगतः सद्भिः समुद्र इव सिन्धुभिः |
आर्यः सर्वसमश्चैव सदैव प्रियदर्शनः","""Like an ocean that is reached by rivers, that reverential one too is always accessible 
and reachable by clean-minded ones, and he treats all equally, and ever a feast to eye..."
